model,mean,std
DenseNet201,0.5154320987654322,0.013926560707010477
InceptionV3,0.705679012345679,0.00982238236094619
LightXrayNet,0.9795061728395063,0.009812679323547789
ResNet50V2,0.5967901234567902,0.012600759878669645
