model,mean,std
DenseNet201,0.5114814814814814,0.016491997385013557
InceptionV3,0.7060493827160494,0.011980716610132407
LightXrayNet,0.9848148148148148,0.0011213519829990518
ResNet50V2,0.5998765432098765,0.01129309136212649
